pageType,Url
"Forum - Serious Discussion","https://breachforums.st/Thread-So-why-are-there-56-chars-onion-TLD-domains"
"Forum - Achievements","https://breachforums.st/Thread-i-went-outside"
"Forum - Achievements","https://breachforums.st/Thread-I-once-had-Bug-Hunter-achievement-on-BFv1"
"Forum - Serious Discussion","https://breachforums.st/Thread-How-can-I-bypass-the-14-day-username-change-restriction-on-Instagram"
"Forum - Achievements","https://breachforums.st/Thread-Got-a-domain-name-I-ve-always-wanted"
"Forum - Achievements","https://breachforums.st/Thread-Got-promoted-with-gpt4all"
"Forum - Technology News","https://breachforums.st/Thread-AWS-Azure-auth-keys-found-in-Android-and-iOS-apps-used-by-millions"
"Forum - Technology News","https://breachforums.st/Thread-Critical-WordPress-Plug-in-Flaw-Exposes-4M-Sites-to-Takeover"
"Forum - Technology News","https://breachforums.st/Thread-Critical-Mozilla-Firefox-Zero-Day-Allows-Code-Execution"
"Forum - Serious Discussion","https://breachforums.st/Thread-why-people-don-t-use-escrow"
"Forum - Achievements","https://breachforums.st/Thread-Organized-my-drive"
"Forum - Technology News","https://breachforums.st/Thread-This-is-what-freelance-support-gets-you"
"Forum - Achievements","https://breachforums.st/Thread-100-posts"
"Forum - Serious Discussion","https://breachforums.st/Thread-SimpleX-replacing-Telegram"
"Forum - Achievements","https://breachforums.st/Thread-MY-CMOS-BATTERY-HAS-RUN-OUT"
"Forum - Serious Discussion","https://breachforums.st/Thread-Do-you-have-OnlyFake-link"
"Forum - Technology News","https://breachforums.st/Thread-Curious-Google-Results-Via-URL-Manipulation"
"Forum - Achievements","https://breachforums.st/Thread-Actually-over-8K-posts-now"
"Forum - Serious Discussion","https://breachforums.st/Thread-I-want-to-hack"
"Forum - Serious Discussion","https://breachforums.st/Thread-emo-s-lore-book-the-whole-story"
"Forum - Serious Discussion","https://breachforums.st/Thread-create-facebook-account"
"Forum - Achievements","https://breachforums.st/Thread-500-posts--116140"
"Forum - Achievements","https://breachforums.st/Thread-Got-a-Super-Scope"
